Average,CL Appearances
2,5
2.653061224,49
2.5,70
2.486486486,74
2.512820513,78
2.5,86
2.52173913,92
2.5,100
2.480314961,127
2.482517483,143
2.476510067,149
2.470588235,170
2.483253589,209
2.506976744,215
2.54587156,218
2.556561086,221
2.557017544,228
2.560344828,232
2.544680851,235
2.575,240
2.584677419,248
2.518644068,295
2.463976945,347
2.351405622,498
2.361829026,503
2.353612167,526
2.326699834,603
2.327272727,605
2.328407225,609
2.3264,625
2.3234375,640
2.31969697,660
2.322775264,663
2.348148148,675
2.369661267,679
2.373529412,680
2.380116959,684
2.39941691,686
2.405523256,688
2.424637681,690
2.443001443,693
2.485064011,703
2.477272727,704
2.482269504,705
2.492220651,707
2.515492958,710
2.513399154,709
2.485875706,708
2.506346968,709
2.507735584,711
2.498595506,712
2.525801953,717
2.542420028,719
2.546334716,723
2.547586207,725
2.548209366,726
2.553571429,728
2.576131687,729
2.569148936,752
2.580901857,754
2.596306069,758
2.579634465,766
2.604681404,769
2.598179454,769
2.619480519,770
2.618556701,776
2.613607189,779
2.61715749,781
2.601792574,781
2.575641026,780
2.461038961,770
2.460543338,773
2.469072165,776
2.38002594,771
2.382124352,772
2.382923674,773
2.379795396,782
2.379923761,787
2.380352645,794
2.381909548,796
2.381727159,799
2.380299252,802
2.372817955,802
2.373134328,804
2.376397516,805
2.380421314,807
2.385185185,810
2.379012346,810
2.379310345,812
2.380778589,822
2.3808948,827
2.389156627,830
2.397111913,831
2.397836538,832
2.436285097,926
2.438577586,928
2.439181916,929
2.441460795,931
2.44111349,934
2.445989305,935
2.444680851,940
2.44279661,944
2.4625132,947
2.463080169,948
2.465263158,950
2.465481172,956
2.465553236,958
2.464583333,960
2.467221644,961
2.488752556,978
2.490816327,980
2.490853659,984
2.497461929,985
2.510638298,987
2.512613522,991
2.517623364,993
2.526633166,995
2.531124498,996
2.533066132,998
2.536536537,999
2.538,1000
2.535856574,1004
2.538308458,1005
2.53374778,1126
2.54159292,1130
2.542253521,1136
2.540350877,1140
2.54886562,1146
2.549787234,1175
2.550847458,1180
2.554806071,1186
2.555555556,1188
2.561241611,1192
2.560519903,1231
2.565533981,1236
2.565322581,1240
2.56154465,1243
2.570743405,1251
2.570972887,1254
2.571996818,1257
2.570522979,1262
2.572884013,1276
2.569767442,1290
2.375751967,2161
2.378178456,2163
2.379388965,2193
2.37817029,2208
2.377597109,2214
2.382604777,2219
2.385682327,2235
2.389309577,2245
2.394222222,2250
2.394678492,2255
2.396126761,2272
2.396665204,2279
2.397896582,2282
2.398861646,2284
2.404283217,2288
2.405936272,2291
2.410200523,2294
2.416267943,2299
2.416232639,2304
2.422626788,2307
2.425292334,2309
2.43134715,2316
2.432269198,2318
2.434051724,2320
2.435643564,2323
2.436989247,2325
2.438573883,2328
2.443396226,2332
2.445158526,2334
2.445870774,2337
2.446153846,2340
2.450746269,2345
2.456327226,2347
2.46346644,2354
2.464556962,2370
2.466219052,2383
2.467924528,2385
2.472582671,2389
2.470071159,2389
2.475971584,2393
2.469703301,2393
2.470391993,2398
2.470833333,2400
2.474604496,2402
2.447083333,2400
2.419557041,2393
2.416527546,2396
2.413161183,2401
2.40948814,2403
2.411055694,2406
2.410958904,2409
2.410203235,2411
2.410692085,2413
2.410766046,2415
2.411667356,2417
2.412567177,2419
2.413124226,2423
2.413920923,2428
2.414403292,2430
2.4157765,2434
2.416256158,2436
